knr,knavn,aar,bef_K_0_14,bef_K_15_29,bef_K_30_74,bef_K_75_105,bef_M_0_14,bef_M_15_29,bef_M_30_74,bef_M_75_105,bef_MK_0_14,bef_MK_15_29,bef_MK_30_74,bef_MK_75_105
0101,Halden,1999,2207,2445,7110,1597,2387,2530,7067,889,4594,4975,14177,2486
0101,Halden,2000,2243,2416,7163,1612,2443,2514,7135,913,4686,4930,14298,2525
0101,Halden,2001,2284,2416,7263,1632,2487,2526,7270,923,4771,4942,14533,2555
0101,Halden,2002,2287,2409,7297,1630,2525,2446,7327,950,4812,4855,14624,2580
0101,Halden,2003,2321,2381,7370,1627,2560,2504,7397,962,4881,4885,14767,2589
0101,Halden,2004,2316,2350,7408,1640,2559,2465,7471,957,4875,4815,14879,2597
0101,Halden,2005,2316,2339,7494,1610,2547,2472,7531,959,4863,4811,15025,2569
0101,Halden,2006,2303,2377,7583,1574,2526,2531,7569,986,4829,4908,15152,2560
0101,Halden,2007,2273,2413,7601,1604,2525,2487,7669,972,4798,4900,15270,2576
0101,Halden,2008,2290,2421,7690,1583,2514,2503,7798,984,4804,4924,15488,2567
0101,Halden,2009,2318,2497,7774,1555,2505,2541,7900,987,4823,5038,15674,2542
0101,Halden,2010,2329,2568,7890,1543,2487,2632,8026,993,4816,5200,15916,2536
0101,Halden,2011,2328,2628,7998,1524,2502,2755,8171,995,4830,5383,16169,2519
0101,Halden,2012,2340,2691,8099,1503,2509,2881,8243,979,4849,5572,16342,2482
0101,Halden,2013,2352,2745,8239,1499,2538,2916,8326,958,4890,5661,16565,2457
0101,Halden,2014,2369,2804,8302,1481,2559,2943,8400,969,4928,5747,16702,2450
0104,Moss,1999,2073,2574,7255,1379,2238,2633,7028,749,4311,5207,14283,2128
0104,Moss,2000,2155,2501,7363,1425,2343,2535,7212,760,4498,5036,14575,2185
0104,Moss,2001,2255,2480,7546,1436,2441,2524,7363,773,4696,5004,14909,2209
0104,Moss,2002,2311,2436,7682,1408,2473,2436,7511,766,4784,4872,15193,2174
0104,Moss,2003,2281,2439,7833,1395,2452,2409,7611,785,4733,4848,15444,2180
0104,Moss,2004,2329,2428,7930,1395,2467,2393,7702,801,4796,4821,15632,2196
0104,Moss,2005,2347,2440,8051,1379,2471,2395,7840,797,4818,4835,15891,2176
0104,Moss,2006,2338,2386,8168,1404,2470,2406,7895,818,4808,4792,16063,2222
0104,Moss,2007,2343,2432,8316,1413,2487,2449,7998,830,4830,4881,16314,2243
0104,Moss,2008,2379,2409,8447,1428,2510,2563,8147,846,4889,4972,16594,2274
0104,Moss,2009,2383,2531,8587,1409,2542,2636,8327,849,4925,5167,16914,2258
0104,Moss,2010,2416,2576,8687,1417,2609,2698,8416,850,5025,5274,17103,2267
0104,Moss,2011,2413,2561,8793,1407,2584,2755,8540,877,4997,5316,17333,2284
0104,Moss,2012,2408,2626,8938,1409,2568,2829,8682,900,4976,5455,17620,2309
0104,Moss,2013,2448,2653,8999,1411,2563,2862,8803,945,5011,5515,17802,2356
0104,Moss,2014,2443,2640,9127,1434,2569,2900,8891,983,5012,5540,18018,2417
0105,Sarpsborg,1999,3870,4465,12908,2501,4063,4759,12655,1373,7933,9224,25563,3874
0105,Sarpsborg,2000,3903,4416,13056,2516,4096,4656,12806,1431,7999,9072,25862,3947
0105,Sarpsborg,2001,4023,4375,13303,2509,4186,4674,12985,1414,8209,9049,26288,3923
0105,Sarpsborg,2002,4110,4317,13443,2522,4304,4624,13201,1453,8414,8941,26644,3975
0105,Sarpsborg,2003,4179,4293,13596,2530,4399,4568,13437,1473,8578,8861,27033,4003
0105,Sarpsborg,2004,4230,4301,13719,2511,4468,4559,13572,1491,8698,8860,27291,4002
0105,Sarpsborg,2005,4311,4309,13879,2514,4494,4547,13665,1518,8805,8856,27544,4032
0105,Sarpsborg,2006,4304,4345,13964,2534,4487,4554,13816,1561,8791,8899,27780,4095
0105,Sarpsborg,2007,4287,4379,14068,2549,4537,4588,14048,1572,8824,8967,28116,4121
0105,Sarpsborg,2008,4261,4449,14175,2540,4539,4656,14293,1560,8800,9105,28468,4100
0105,Sarpsborg,2009,4367,4482,14383,2519,4587,4748,14452,1563,8954,9230,28835,4082
0105,Sarpsborg,2010,4398,4531,14518,2496,4612,4783,14595,1565,9010,9314,29113,4061
0105,Sarpsborg,2011,4422,4629,14723,2461,4674,4952,14784,1567,9096,9581,29507,4028
0105,Sarpsborg,2012,4434,4711,14861,2481,4669,4995,15007,1579,9103,9706,29868,4060
0105,Sarpsborg,2013,4425,4782,14937,2492,4663,5020,15193,1598,9088,9802,30130,4090
0105,Sarpsborg,2014,4408,4876,15065,2511,4691,4989,15335,1605,9099,9865,30400,4116
0106,Fredrikstad,1999,5588,6319,18695,3721,5847,6342,18112,2007,11435,12661,36807,5728
0106,Fredrikstad,2000,5684,6160,18873,3751,5944,6122,18370,2059,11628,12282,37243,5810
0106,Fredrikstad,2001,5796,6024,19139,3705,6059,5971,18565,2070,11855,11995,37704,5775
0106,Fredrikstad,2002,5858,5920,19304,3769,6154,5961,18683,2100,12012,11881,37987,5869
0106,Fredrikstad,2003,5982,5983,19570,3752,6306,5919,18913,2076,12288,11902,38483,5828
0106,Fredrikstad,2004,6023,6018,19737,3750,6364,5922,19197,2098,12387,11940,38934,5848
0106,Fredrikstad,2005,6027,5959,19916,3779,6414,5943,19471,2135,12441,11902,39387,5914
0106,Fredrikstad,2006,6034,5988,20113,3758,6432,5985,19569,2137,12466,11973,39682,5895
0106,Fredrikstad,2007,5984,6083,20296,3767,6479,6072,19697,2138,12463,12155,39993,5905
0106,Fredrikstad,2008,6000,6136,20489,3733,6484,6217,19979,2151,12484,12353,40468,5884
0106,Fredrikstad,2009,6052,6271,20638,3700,6447,6379,20358,2154,12499,12650,40996,5854
0106,Fredrikstad,2010,6098,6396,20885,3649,6442,6558,20562,2159,12540,12954,41447,5808
0106,Fredrikstad,2011,6163,6570,21127,3631,6580,6737,20794,2169,12743,13307,41921,5800
0106,Fredrikstad,2012,6095,6697,21349,3635,6614,7074,21174,2190,12709,13771,42523,5825
0106,Fredrikstad,2013,6101,6938,21641,3639,6643,7275,21535,2253,12744,14213,43176,5892
0106,Fredrikstad,2014,6127,7025,21887,3673,6631,7416,21741,2310,12758,14441,43628,5983
0111,Hvaler,1999,273,304,962,174,334,338,987,88,607,642,1949,262
0111,Hvaler,2000,266,295,966,176,317,327,1016,90,583,622,1982,266
0111,Hvaler,2001,279,297,967,173,305,349,1017,89,584,646,1984,262
0111,Hvaler,2002,285,281,1015,170,307,347,1058,98,592,628,2073,268
0111,Hvaler,2003,286,277,1036,168,303,342,1079,104,589,619,2115,272
0111,Hvaler,2004,280,293,1071,170,307,318,1110,107,587,611,2181,277
0111,Hvaler,2005,289,295,1102,176,319,318,1145,105,608,613,2247,281
0111,Hvaler,2006,276,304,1128,174,317,326,1154,107,593,630,2282,281
0111,Hvaler,2007,279,280,1166,171,322,318,1194,110,601,598,2360,281
0111,Hvaler,2008,288,269,1207,173,332,315,1225,123,620,584,2432,296
0111,Hvaler,2009,298,261,1238,167,326,305,1252,122,624,566,2490,289
0111,Hvaler,2010,292,276,1269,155,314,335,1287,122,606,611,2556,277
0111,Hvaler,2011,293,288,1293,152,323,339,1309,131,616,627,2602,283
0111,Hvaler,2012,294,294,1325,157,321,334,1324,131,615,628,2649,288
0111,Hvaler,2013,285,335,1335,158,329,334,1356,124,614,669,2691,282
0111,Hvaler,2014,293,332,1362,172,327,333,1398,137,620,665,2760,309
0118,Aremark,1999,147,131,359,102,117,134,398,59,264,265,757,161
0118,Aremark,2000,140,133,360,101,118,127,390,61,258,260,750,162
0118,Aremark,2001,135,134,356,101,115,109,389,64,250,243,745,165
0118,Aremark,2002,142,130,366,98,118,107,400,61,260,237,766,159
0118,Aremark,2003,147,131,374,94,119,109,404,62,266,240,778,156
0118,Aremark,2004,143,129,378,88,120,108,397,61,263,237,775,149
0118,Aremark,2005,137,120,379,90,120,103,400,59,257,223,779,149
0118,Aremark,2006,135,128,387,89,128,110,406,57,263,238,793,146
0118,Aremark,2007,130,117,380,84,130,112,390,57,260,229,770,141
0118,Aremark,2008,128,110,392,79,134,119,398,58,262,229,790,137
0118,Aremark,2009,125,103,395,80,127,119,396,60,252,222,791,140
0118,Aremark,2010,127,113,391,74,121,123,401,63,248,236,792,137
0118,Aremark,2011,125,110,393,68,123,118,395,63,248,228,788,131
0118,Aremark,2012,126,110,394,74,122,123,401,62,248,233,795,136
0118,Aremark,2013,123,110,389,73,121,120,415,67,244,230,804,140
0118,Aremark,2014,117,107,382,77,115,102,431,65,232,209,813,142
0119,Marker,1999,275,278,857,206,258,306,919,148,533,584,1776,354
